$	~[,SIF][,DOL][,SI]
0	~*[,O]
1	~*[,E]
2	~*[,R]
3	~*[,S]
4	~*[,F]
5	~*[,W]
6	~*[,L]
7	~*[,C]
8	~*[,B]
9	~*[,K]
¢	~*[,CEN]::[,CIR][,CPV][,CI][,CP]
£	~*[,POU]::[,LES][,LE]
¤	~*[,BOB]
¥	~[,YENV][,YRV][,YEN][,YR]
§	~*[,SS]
¨	~*[,..]::[..]
©	~[,OCB][,OC]
«	~[,[[C][[[C][,,,][,[[][[[]
®	~[,ORC][,OR]
°	~[,O]
±	~*[,JE][,YE]
µ	~*[,MIC]::[,MU][,MUE][,U]
·	~[,.][']
»	~[,..R][,..][,]]][]]]
¼	~*[,EPF]
½	~*[,EPR]
¾	~*[,SPF]
×	~*[,XX]::[,XV][..F][,X][..]
à	~[,NA]
á	~[,PA]
è	~*[,NE]
é	~[,PE]
ê	~[,NE]
ì	~*[,NI]
í	~[,PI]
ò	~[,NO]
ó	~[,PO]
÷	~*[,M]::[..W][..]
ù	~[,NU]
ú	~[,PU]
ü	~*[,BU][,..U]
ā	~*[,EA]
ē	~[,EE]
ě	~[,VE]
ī	~[,EI]
ń	~*[,PN]
ň	~*[,VN]
ō	~*[,EO]
ū	~*[,EU]
ǎ	~[,VA]
ǐ	~[,VI]
ǒ	~*[,VO]
ǔ	~*[,VU]
ǘ	~*[,P..]
ǚ	~*[,V..]
ǜ	~*[,N..]
ɑ	~[,A]
ɡ	~[,G]
ˆ	~[,EIV][,GVL][,EI][,G][,GV][,[V]
ˇ	~*[,SY]::[,SSR][,SSV][,SS][,V]
ˉ	~[,EE]
ˊ	~*[,RS][,RY]::[,RSV]
ˋ	~*[,FS][,FY]::[,FYV]
˙	~*[,CS][,CY][,ES][,EY]::[,ESR]
Α	~*[,ALP]
Β	~*[,BET]
Γ	~*[,GAM]
Δ	~
Ε	~[,EPS]
Ζ	~*[,ZET]
Η	~*[,ETA]
Θ	~*[,THE]::[,OE]
Ι	~*[,IOT]
Κ	~*[,KAP]
Λ	~*[,LAM]
Μ	~[,MU]
Ν	~[,NU]
Ξ	~[,XI]
Ο	~[,OMI]
Π	~[,PI]
Ρ	~*[,RHO]
Σ	~*[,SIG][,SM]::[,EC][,E]
Τ	~*[,TAU]
Υ	~*[,UPS]
Φ	~*[,PHI]
Χ	~[,CHI]
Ψ	~*[,PSI][,VI]
Ω	~*[,OMG]::[,O]
α	~*[,A]
β	~[,B]
γ	~[,G]
δ	~[,D]
ε	~[,E]
ζ	~*[,US]::[,ZET]
η	~[,ETA][,N]
θ	~*[,TH]::[,QV][,Q]
ι	~[,IOT]
κ	~[,KS][,K][,KAP]
λ	~[,LS][,L]
μ	~*[,MU][,MUE]::[,MUER][,U]
ν	~[,VS][,NU][,V]
ξ	~[,ESV][,ES]
ο	~[,O][,OMI]
π	~*[,PI]::[,ERV][,ER]
ρ	~[,RHO]
σ	~[,SIG]
τ	~[,ELV][,EL]
υ	~[,U][,UPS]
φ	~*[,OP][,PO]::[,PHI]
χ	~[,XL][,CHI][,X]
ψ	~*[,PU]::[,PSI]
ω	~[,WS][,O][,W]
Ё	~*[,IO][,..E]::[,BE]
А	~[,A]
Б	~[,BE]
В	~[,VE]
Д	~[,DE]
Е	~*[,IE]
Ж	~*[,ZHE]
З	~[,ZE]
И	~[,N]
Й	~*[,SII]
К	~[,KA]
Л	~[,EL]
М	~*[,EM]
Н	~[,EN]
О	~[,O]
П	~[,PE]
Р	~[,ER]
С	~[,ES]
Т	~*[,TE]
У	~[,U]
Ф	~[,EF]
Х	~*[,KHA]
Ц	~*[,TSE]
Ч	~[,CHE]
Ш	~*[,SHA]
Щ	~[,SHE]
Ъ	~[,SIG]
Ы	~*[,YER]
Ь	~*[,SSI]::[,B]
Э	~[,E][,RE]
Ю	~[,IU]
Я	~*[,IA]
а	~[,A]
б	~[,BE]
в	~[,VE]
д	~[,DE]
е	~[,IE]
ж	~[,ZHE]
з	~[,ZE]
и	~[,N]
й	~[,SII]
к	~[,KA]
л	~[,EL]
м	~[,EM]
н	~[,EN]
о	~[,O]
п	~[,PE]
р	~[,ER]
с	~[,ES]
т	~[,TE]
у	~[,U]
ф	~[,EF]
х	~[,KHA]
ц	~[,TSE]
ч	~[,CHE]
ш	~[,SHA]
щ	~*[,SHC]
ъ	~[,SIG]
ы	~[,YER]
ь	~[,SSI]
э	~[,E]
ю	~[,IU]
я	~[,IA]
ё	~[,BE][,IO][,..E]
฿	~*[,BAH]::[,BIR][,BI]
–	~[,EW][,E]
—	~[,EE]
‖	~[,RI]
‘	~*[,']::[,,]
’	~[,'V][,,][,'][,'']
“	~*[,'']['']::[,,]
”	~*[''']::[,''V][,V][,,][,,V][,'']
‥	~[..V][..]
…	~*[...]
‧	~[,.V][,.][']
‰	~[,OPO]
′	~[,'S][,']
″	~[,PP][,RP]
‵	~[,'R][,']
※	~*[,XF]
₠	~[,CEV][,EURV][,CE][,EUR]
₡	~*[,COL]::[,CMV][,CM]
₢	~*[,CRU]::[,CRV][,CR]
₣	~*[,FR][,FRA]
₤	~*[,LIR]::[,LRR][,LR]
₥	~*[,MP]::[,MILV][,MIL]
₦	~*[,NAI][,NR]
₧	~*[,PE][,PES][,PTS]
₨	~*[,RES][,RUP]::[,RS]
₩	~*[,WON][,WR]
₪	~*[,NU][,SHE]
₫	~*[,DON][,EDE]::[,DRS][,DR]
€	~*[,CR][,EUR]
₭	~*[,KE][,KIP]
₮	~*[,TM][,TPP][,TUG]
₯	~*[,DRA]::[,DPV][,DP]
℀	~*[,APC]
℁	~*[,APS]
ℂ	~[,CCV][,CIS][,CC][,CI]
℃	~[,OCW][,OC]
℄	~*[,CL][,LC]
℅	~*[,CPO]
℆	~*[,CPU]
℉	~[,OFW][,OF]
№	~*[,NO][,NOE][,NO.]
℡	~*[,TEL]::[,TELF][,TELR][,TELS]
⅓	~*[,EPS]
⅔	~*[,RPS]
⅕	~*[,EPW]
⅖	~*[,RPW]
⅗	~*[,SPW]
⅘	~*[,FPW]
⅙	~*[,EPL]
⅚	~*[,WPL]
⅛	~*[,EPB]
⅜	~*[,SPB]
⅝	~*[,WPB]
⅞	~*[,CPB]
⅟	~*[,EP]
Ⅰ	~[,EV][,E]
Ⅱ	~[,RV][,R]
Ⅲ	~[,S]
Ⅳ	~[,FV][,F]
Ⅴ	~[,WV][,W]
Ⅵ	~[,LV][,L]
Ⅶ	~[,CV][,C]
Ⅷ	~[,BV][,B]
Ⅸ	~[,K]
Ⅹ	~*[,J]::[,X]
Ⅺ	~[,JEV][,JE]
Ⅻ	~*[,JR]
ⅰ	~[,EB][,E]
ⅱ	~[,RB][,R]
ⅲ	~[,SC][,S]
ⅳ	~[,FF][,F]
ⅴ	~[,WW][,W]
ⅵ	~[,L]
ⅶ	~[,C]
ⅷ	~[,BW][,B]
ⅸ	~[,KF][V[][,K]
ⅹ	~[,JW][V]][,J]
ⅺ	~[,JER][,JE]
ⅻ	~[,JRV][,JR]
ↀ	~[,OIR][,OI]
ↁ	~[,DCV][,DC]
ↂ	~*[,OCI][,OCJ][,OIO][,OOI]
←	~*[,ZE]::[,ZF][,Z]
↑	~*[,ZI]::[,ZR][,Z]
→	~*[,EZ]::[,Z]
