$	~*[,DOL][,SIS][,SI]
0	~*[,O]
1	~*[,E]
2	~*[,R]
3	~*[,S]
4	~*[,F]
5	~*[,W]
6	~*[,L]
7	~*[,C]
8	~*[,B]
9	~*[,K]
¢	~*[,CEN]*[,CP][,CIV][,CI]
£	~*[,POU][,LES][,LE]
¥	~*[,YEN][,YRV][,YR]
§	~*[,SS]
©	~[,OCB][,OC]
«	~[,[[C][[[C][,,,][,[[][[[]
®	~[,ORC][,OR]
°	~[,O]
±	~*[,JE]*[,YE]
µ	~*[,MIC]*[,MU][,MUEV][,MUE][,U]
»	~[,..R][,..][,]]][]]]
¼	~*[,EPF]
½	~*[,EPR]
¾	~*[,SPF]
×	~*[,X][,XXV][..F][,XX][..]
÷	~*[,.E.][..W][..]
ˇ	~*[,SY][,SSV][,SS][,V]
ˊ	~*[,RS]*[,RY]
ˋ	~*[,FS]*[,FY]
˙	~*[,CS]*[,CY]*[,ES]*[,EY]
Ω	~[,O]
α	~*[,A]
β	~[,BR][,B]
γ	~[,G]
δ	~*[,D]
ε	~[,EK][,E]
θ	~*[,Q]*[,TH]
λ	~[,L]
ξ	~[,ESV][,ES]
π	~*[,ER][,PIV][,PI]
τ	~*[,EL]
ω	~[,O][,W]
฿	~*[,BAH][,BIV][,BI]
―	~[,EC][,EES][,E][,EE]
‘	~*[,'][,,]
’	~[,'V][,,][,']
“	~*[,'']*[']
”	~*[''][,''V][,'']
‥	~[..V][..]
…	~*[...]
‧	~[,.W][,.][]
′	~[,'S][,']
‵	~[,'R][,']
※	~*[,XF]
₠	~*[,CE][,EURV][,EUR]
₡	~*[,COL][,CMV][,CM]
₢	~*[,CRU][,CRV][,CR]
₣	~*[,FR]*[,FRA]
₤	~*[,LIR][,LRR][,LR]
₥	~[,MILV][,MPV][,MIL][,MP]
₦	~*[,NAI]*[,NR]
₧	~*[,PE]*[,PES]*[,PTS]
₨	~*[,RES]*[,RUP][,RSV][,RS]
₩	~*[,WON]*[,WR]
₪	~*[,NU]*[,SHE]
₫	~*[,DON]*[,EDE][,DR]
€	~*[,CR]*[,EUR]
₭	~*[,KE]*[,KIP]
₮	~*[,TM]*[,TPP]*[,TUG]
₯	~*[,DRA][,DPV][,DP]
℀	~*[,APC]
℁	~*[,APS]
ℂ	~*[,CC][,CIR][,CI]
℃	~[,OCW][,OC]
℄	~*[,CL]*[,LC]
℅	~*[,CPO]
℆	~*[,CPU]
℉	~[,OFW][,OF]
№	~*[,NO]*[,NO.]
℡	~*[,TEL][,TELF][,TELR][,TELS]
⅓	~*[,EPS]
⅔	~*[,RPS]
⅕	~*[,EPW]
⅖	~*[,RPW]
⅗	~*[,SPW]
⅘	~*[,FPW]
⅙	~*[,EPL]
⅚	~*[,WPL]
⅛	~*[,EPB]
⅜	~*[,SPB]
⅝	~*[,WPB]
⅞	~*[,CPB]
⅟	~*[,EP]
Ⅰ	~[,EV][,E]
Ⅱ	~[,RV][,R]
Ⅲ	~[,S]
Ⅳ	~[,FV][,F]
Ⅴ	~[,WV][,W]
Ⅵ	~[,LV][,L]
Ⅶ	~[,CV][,C]
Ⅷ	~[,BV][,B]
Ⅸ	~[,K]
Ⅹ	~*[,J]
Ⅺ	~[,JEV][,JE]
Ⅻ	~*[,JR]
ⅺ	~[,JER][,JE]
ⅻ	~[,JRV][,JR]
ↀ	~[,OIR][,OI]
ↁ	~[,DCV][,DC]
ↂ	~*[,OCI]*[,OCJ]*[,OIO]*[,OOI]
←	~*[,ZE][,Z]
↑	~*[,ZI][,ZV][,Z]
→	~*[,EZ][,ZR][,Z]
↓	~*[,IZ]*[,Z]
↔	~*[,ZEZ][,ZEZR]
↖	~*[,ZN][,ZC][,Z]
↗	~*[,ZP][,Z]
↘	~*[,NZ][,ZF][,Z]
↙	~*[,PZ][,ZW][,Z]
↚	~*[,ZX]
↛	~*[,XZ]
↜	~*[,ZS]
↝	~*[,SZ]
↞	~*[,ZZE]
↟	~*[,ZZI]
↠	~*[,EZZ]
↡	~*[,IZZ]
↢	~[,ZEZV][,ZEZ]
↣	~[,ZEZ]
↤	~*[,ZEI]
↥	~*[,ZIE][,ZLR][,ZL]
↦	~*[,IEZ]
↧	~*[,TZ]
↨	~*[,ZIZ]
↩	~[,ZLS][,ZL]
↪	~*[,LZ]
↫	~*[,ZJ]
↬	~*[,JZ]
↭	~*[,ZSZ]*[,ZWZ]
↮	~*[,ZXZ]
↯	~*[,UZ][,NZV][,ZZR][,NZ][,ZZ]
∀	~*[,ALL][,AS][,A]
∃	~[,XXL][,E][,XX]
∅	~*[,SET][,OPR][,OP]
∆	~[,SNF][,SN]
∈	~[,E]
∉	~*[,EI][,EIV][,EPV][,EP]
∑	~[,E]
∓	~*[,EJ]
√	~*[,VE]
∞	~*[,VBD][,BF][,OOS][,B][,OO]
∟	~[,LF][,L]
∠	~*[,LL][,LS][,L][,V]
∣	~[,IV][,I]
∤	~*[,IP]*[,IPX][,XXC][,XX]
∧	~[,VL][,V]
∨	~[,VC][,V]
∩	~*[,CAP]*[,HAT][,N]
∪	~*[,CUP]*[,U]
∴	~*[,FU][,...V][...R][,...][...]
∵	~*[,...][,...R][,OBC][...V][,OB][,OE][...]
∶	~*[,RAT][,..S][,..]
∼	~[,SL][,S]
≅	~[,SRS][,SR]
≈	~[,SSR][,SS]
≌	~[,SRF][,SR]
≑	~[,.R.]
≒	~*[,.R.][,.R.V]
≠	~*[,QX]*[,RP]*[,RPX]
≡	~*[,SE]
≤	~[,VEV][,VE]
≦	~*[,LR]*[,VR]
≧	~[,LRV][,VRV][,LR][,VR]
⊕	~[,OJ]
⊙	~*[,O.]
⊥	~[,LER][,LE]
①	~*[,OE]
②	~*[,OR]
③	~*[,OS]
④	~*[,OF]
⑤	~*[,OW]
⑥	~*[,OL]
⑦	~*[,OC]
⑧	~*[,OB]
⑨	~*[,OK]
⑩	~*[,OEO]*[,OJ][,OEOF][,OEOR][,OEOS]
⑪	~*[,OEE]*[,OJE]
⑫	~*[,OER]*[,OJR]
⑬	~*[,OES]*[,OJS]
⑭	~*[,OEF]*[,OJF]
⑮	~*[,OEW]*[,OJW]
⑯	~*[,OEL]*[,OJL]
⑰	~*[,OEC]*[,OJC]
⑱	~*[,OEB]*[,OJB]
⑲	~*[,OEK]*[,OJK]
⑳	~*[,ORJ]*[,ORO]
⑴	~*[,GE]
⑵	~*[,GR]
⑶	~*[,GS]
⑷	~*[,GF]
⑸	~*[,GW]
⑹	~*[,GL]
⑺	~*[,GC]
⑻	~*[,GB]
⑼	~*[,GK]
⑽	~*[,GEO]*[,GJ]
⑾	~*[,GEE]*[,GJE]
⑿	~*[,GER]*[,GJR]
⒀	~*[,GES]*[,GJS]
⒁	~*[,GEF]*[,GJF]
⒂	~*[,GEW]*[,GJW]
⒃	~*[,GEL]*[,GJL]
⒄	~*[,GEC]*[,GJC]
⒅	~*[,GEB]*[,GJB]
⒆	~*[,GEK]*[,GJK]
⒇	~*[,GRJ]*[,GRO]
⒈	~*[,E.]
⒉	~*[,R.]
⒊	~*[,S.]
⒋	~*[,F.]
⒌	~*[,W.]
⒍	~*[,L.]
⒎	~*[,C.]
⒏	~*[,B.]
⒐	~*[,K.]
⒑	~*[,EO.]*[,J.]
